Wraps = 	512	 Interleafs = 	32	 SSIM: 	0.719062																
																					
Num of Samples = 	64																				
Wraps = 	1	 Interleafs = 	64	 finished in 	37338	 ms															
Wraps = 	1	 Interleafs = 	64	 PSNR: 	14.6328																
Wraps = 	1	 Interleafs = 	64	 SSIM: 	0.797644																
																					
Num of Samples = 	128																				
Wraps = 	2	 Interleafs = 	64	 finished in 	37142	 ms															
Wraps = 	2	 Interleafs = 	64	 PSNR: 	15.2544																
Wraps = 	2	 Interleafs = 	64	 SSIM: 	0.826182																
																					
Num of Samples = 	256																				
Wraps = 	4	 Interleafs = 	64	 finished in 	37278	 ms															
Wraps = 	4	 Interleafs = 	64	 PSNR: 	13.9419																
Wraps = 	4	 Interleafs = 	64	 SSIM: 	0.712389																
																					
Num of Samples = 	512																				
Wraps = 	8	 Interleafs = 	64	 finished in 	37521	 ms															
Wraps = 	8	 Interleafs = 	64	 PSNR: 	13.02																
Wraps = 	8	 Interleafs = 	64	 SSIM: 	0.673664																
																					
Num of Samples = 	1024																				
Wraps = 	16	 Interleafs = 	64	 finished in 	37587	 ms															
Wraps = 	16	 Interleafs = 	64	 PSNR: 	13.3321																
Wraps = 	16	 Interleafs = 	64	 SSIM: 	0.687706																
																					
Num of Samples = 	2048																				
Wraps = 	32	 Interleafs = 	64	 finished in 	136998	 ms															
Wraps = 	32	 Interleafs = 	64	 PSNR: 	12.3883																
Wraps = 	32	 Interleafs = 	64	 SSIM: 	0.651921																
																					
Num of Samples = 	4096																				
Wraps = 	64	 Interleafs = 	64	 finished in 	37058	 ms															
Wraps = 	64	 Interleafs = 	64	 PSNR: 	14.0577																
Wraps = 	64	 Interleafs = 	64	 SSIM: 	0.737943																
																					
Num of Samples = 	8192																				
Wraps = 	128	 Interleafs = 	64	 finished in 	37371	 ms															
Wraps = 	128	 Interleafs = 	64	 PSNR: 	14.8505																
Wraps = 	128	 Interleafs = 	64	 SSIM: 	0.782801																
																					
Num of Samples = 	16384																				
Wraps = 	256	 Interleafs = 	64	 finished in 	37523	 ms															
Wraps = 	256	 Interleafs = 	64	 PSNR: 	14.6328																
Wraps = 	256	 Interleafs = 	64	 SSIM: 	0.797644																
																					
Num of Samples = 	32768																				
Wraps = 	512	 Interleafs = 	64	 finished in 	37801	 ms															
Wraps = 	512	 Interleafs = 	64	 PSNR: 	15.2544																
Wraps = 	512	 Interleafs = 	64	 SSIM: 	0.826182																
																					
Num of Samples = 	128																				
Wraps = 	1	 Interleafs = 	128	 finished in 	38026	 ms															
Wraps = 	1	 Interleafs = 	128	 PSNR: 	8.109																
Wraps = 	1	 Interleafs = 	128	 SSIM: 	0.0672928																
																					
Num of Samples = 	256																				
Wraps = 	2	 Interleafs = 	128	 finished in 	133952	 ms															
Wraps = 	2	 Interleafs = 	128	 PSNR: 	8.17212																
Wraps = 	2	 Interleafs = 	128	 SSIM: 	0.0690061																
																					
Num of Samples = 	512																				
Wraps = 	4	 Interleafs = 	128	 finished in 	37261	 ms															
Wraps = 	4	 Interleafs = 	128	 PSNR: 	8.03811																
Wraps = 	4	 Interleafs = 	128	 SSIM: 	0.0631185																
																					
Num of Samples = 	1024																				
Wraps = 	8	 Interleafs = 	128	 finished in 	37491	 ms															
Wraps = 	8	 Interleafs = 	128	 PSNR: 	8.26263																
Wraps = 	8	 Interleafs = 	128	 SSIM: 	0.0731877																
																					
Num of Samples = 	2048																				
Wraps = 	16	 Interleafs = 	128	 finished in 	37420	 ms															
Wraps = 	16	 Interleafs = 	128	 PSNR: 	8.5612																
Wraps = 	16	 Interleafs = 	128	 SSIM: 	0.0799954																
																					
Num of Samples = 	4096																				
Wraps = 	32	 Interleafs = 	128	 finished in 	37445	 ms															
Wraps = 	32	 Interleafs = 	128	 PSNR: 	8.37563																
Wraps = 	32	 Interleafs = 	128	 SSIM: 	0.0739364																
																					
Num of Samples = 	8192																				
Wraps = 	64	 Interleafs = 	128	 finished in 	37635	 ms															
Wraps = 	64	 Interleafs = 	128	 PSNR: 	8.4911																
Wraps = 	64	 Interleafs = 	128	 SSIM: 	0.0816567																
																					
Num of Samples = 	16384																				
Wraps = 	128	 Interleafs = 	128	 finished in 	98743	 ms															
Wraps = 	128	 Interleafs = 	128	 PSNR: 	8.109																
Wraps = 	128	 Interleafs = 	128	 SSIM: 	0.0672928																
																					
Num of Samples = 	32768																				
Wraps = 	256	 Interleafs = 	128	 finished in 	37506	 ms															
Wraps = 	256	 Interleafs = 	128	 PSNR: 	8.17212																
Wraps = 	256	 Interleafs = 	128	 SSIM: 	0.0690061																
																					
Num of Samples = 	65536																				
Wraps = 	512	 Interleafs = 	128	 finished in 	37095	 ms															
Wraps = 	512	 Interleafs = 	128	 PSNR: 	8.03811																
Wraps = 	512	 Interleafs = 	128	 SSIM: 	0.0631185																
																					
Num of Samples = 	256																				
Wraps = 	1	 Interleafs = 	256	 finished in 	37496	 ms															
Wraps = 	1	 Interleafs = 	256	 PSNR: 	8.10924																
Wraps = 	1	 Interleafs = 	256	 SSIM: 	0.0243654																
																					
Num of Samples = 	512																				
Wraps = 	2	 Interleafs = 	256	 finished in 	37890	 ms															
Wraps = 	2	 Interleafs = 	256	 PSNR: 	7.98806																
Wraps = 	2	 Interleafs = 	256	 SSIM: 	0.0232194																
																					
Num of Samples = 	1024																				
Wraps = 	4	 Interleafs = 	256	 finished in 	37775	 ms															
Wraps = 	4	 Interleafs = 	256	 PSNR: 	8.06604																
Wraps = 	4	 Interleafs = 	256	 SSIM: 	0.0232722																
																					
Num of Samples = 	2048																				
Wraps = 	8	 Interleafs = 	256	 finished in 	37839	 ms															
Wraps = 	8	 Interleafs = 	256	 PSNR: 	7.94144																
Wraps = 	8	 Interleafs = 	256	 SSIM: 	0.0224049																
																					
Num of Samples = 	4096																				
Wraps = 	16	 Interleafs = 	256	 finished in 	37373	 ms															
Wraps = 	16	 Interleafs = 	256	 PSNR: 	7.9894																
Wraps = 	16	 Interleafs = 	256	 SSIM: 	0.0220818																
																					
Num of Samples = 	8192																				
Wraps = 	32	 Interleafs = 	256	 finished in 	37501	 ms															
Wraps = 	32	 Interleafs = 	256	 PSNR: 	8.37618																
Wraps = 	32	 Interleafs = 	256	 SSIM: 	0.0271491																
																					
Num of Samples = 	16384																				
Wraps = 	64	 Interleafs = 	256	 finished in 	37271	 ms															
Wraps = 	64	 Interleafs = 	256	 PSNR: 	8.10924																
Wraps = 	64	 Interleafs = 	256	 SSIM: 	0.0243654																
																					
Num of Samples = 	32768																				
Wraps = 	128	 Interleafs = 	256	 finished in 	37397	 ms															
Wraps = 	128	 Interleafs = 	256	 PSNR: 	7.98806																
Wraps = 	128	 Interleafs = 	256	 SSIM: 	0.0232194																
																					
Num of Samples = 	65536																				
Wraps = 	256	 Interleafs = 	256	 finished in 	37488	 ms															
Wraps = 	256	 Interleafs = 	256	 PSNR: 	8.06604																
Wraps = 	256	 Interleafs = 	256	 SSIM: 	0.0232722																
																					
Num of Samples = 	131072																				
Wraps = 	512	 Interleafs = 	256	 finished in 	37356	 ms															
Wraps = 	512	 Interleafs = 	256	 PSNR: 	7.94144																
Wraps = 	512	 Interleafs = 	256	 SSIM: 	0.0224049																
																					
Num of Samples = 	512																				
Wraps = 	1	 Interleafs = 	512	 finished in 	37539	 ms															
Wraps = 	1	 Interleafs = 	512	 PSNR: 	8.28493																
Wraps = 	1	 Interleafs = 	512	 SSIM: 	0.0156658																
																					
Num of Samples = 	1024																				
Wraps = 	2	 Interleafs = 	512	 finished in 	37774	 ms															
Wraps = 	2	 Interleafs = 	512	 PSNR: 	8.21528																
Wraps = 	2	 Interleafs = 	512	 SSIM: 	0.0151807																
																					
Num of Samples = 	2048																				
Wraps = 	4	 Interleafs = 	512	 finished in 	37511	 ms															
Wraps = 	4	 Interleafs = 	512	 PSNR: 	8.2197																
Wraps = 	4	 Interleafs = 	512	 SSIM: 	0.0154661																
																					
Num of Samples = 	4096																				
Wraps = 	8	 Interleafs = 	512	 finished in 	38358	 ms															
Wraps = 	8	 Interleafs = 	512	 PSNR: 	8.26825																
Wraps = 	8	 Interleafs = 	512	 SSIM: 	0.0162125																
																					
Num of Samples = 	8192																				
Wraps = 	16	 Interleafs = 	512	 finished in 	37407	 ms															
Wraps = 	16	 Interleafs = 	512	 PSNR: 	8.27407																
Wraps = 	16	 Interleafs = 	512	 SSIM: 	0.0160428																
																					
Num of Samples = 	16384																				
Wraps = 	32	 Interleafs = 	512	 finished in 	37568	 ms															
Wraps = 	32	 Interleafs = 	512	 PSNR: 	8.28493																
Wraps = 	32	 Interleafs = 	512	 SSIM: 	0.0156658																
																					
Num of Samples = 	32768																				
